run,frame,run,,pupil folder
01-1-1,9880,1,,003
01-1-2,556,2,,004
01-1-3,437,3,,005
01-1-4,4261,4,,006
01-1-5,427,5,,007
01-5-1,7173,96,,008
01-5-2,429,97,,009
01-5-3,299,98,,010
01-5-4,7046,99,,011
01-5-5,345,100,,012
01-6-1,426,161,,002
01-6-2,12509,162,,003
01-6-3,4629,163,,004
01-6-4,421,164,,005
01-6-5,958,165,,006
01-7-1,12637,198,,001
01-7-2,272,199,,002
01-7-3,310,200,,003
01-7-4,8279,201,,004
01-7-5,2752,202,,005
01-8-1,577,291,,013
01-8-2,526,292,,014
01-8-3,304,293,,015
01-8-4,7765,294,,016
01-8-5,661,295,,017
02-1-1,913,6,,001
02-1-2,692,7,,002
02-1-3,509,8,,003
02-1-4,6759,9,,004
02-1-5,468,10,,005
02-5-1,7817,101,,009
02-5-2,2636,102,,010
02-5-3,635,103,,011
02-5-4,4474,104,,012
02-5-5,778,105,,013
02-6-1,5322,327,,022
02-6-2,3888,328,,023
02-6-3,643,329,,024
02-6-4,6314,330,,025
02-6-5,422,331,,026
02-7-1,9155,357,,001
02-7-2,480,358,,002
02-7-3,378,359,,003
02-7-4,411,360,,005
02-7-5,439,361,,006
02-8-1,264,372,,002
02-8-2,307,373,,003
02-8-3,440,374,,004
02-8-4,4769,375,,005
02-8-5,588,376,,006
03-1-1,8765,16,,008
03-1-2,344,17,,009
03-1-3,296,18,,010
03-1-4,7249,19,,011
03-1-5,728,20,,012
03-5-1,446,176,,009
03-5-2,4030,177,,010
03-5-3,609,178,,011
03-5-4,3362,179,,012
03-5-5,453,180,,013
03-6-1,953,223,,008
03-6-2,1639,224,,009
03-6-3,272,225,,010
03-6-4,1210,226,,011
03-6-5,266,227,,013
03-7-1,5134,258,,015
03-7-2,396,259,,016
03-7-3,219,260,,017
03-7-4,3758,261,,018
03-7-5,489,262,,019
03-8-1,356,306,,034
03-8-2,211,307,,035
03-8-3,283,308,,036
03-8-4,4107,309,,037
03-8-5,428,310,,038
04-1-1,557,31,,001
04-1-2,723,32,,002
04-1-3,386,33,,003
04-1-4,399,34,,004
04-1-5,530,35,,005
04-5-1,850,228,,015
04-5-2,389,229,,016
04-5-3,659,230,,017
04-5-4,6846,231,,018
04-5-5,663,232,,019
04-6-1,102,268,,008
04-6-2,41,269,,009
04-6-3,87,270,,010
04-6-4,4173,271,,011
04-6-5,130,272,,012
04-7-1,8002,286,,002
04-7-2,229,287,,003
04-7-3,338,288,,004
04-7-4,1198,289,,006
04-7-5,4732,290,,007
04-8-1,6744,322,,015
04-8-2,196,323,,016
04-8-3,219,324,,017
04-8-4,3257,325,,018
04-8-5,185,326,,019
05-1-1,672,41,,001
05-1-2,750,42,,002
05-1-3,276,43,,003
05-1-4,8345,44,,004
05-1-5,335,45,,005
05-5-1,249,208,,008
05-5-2,0,209,Peli jo käynnissä,009
05-5-3,230,210,,010
05-5-4,4912,211,,011
05-5-5,331,212,,012
05-6-1,429,276,,001
05-6-2,274,277,,002
05-6-3,269,278,,003
05-6-4,7759,279,,004
05-6-5,286,280,,005
05-7-1,6299,332,,029
05-7-2,59,333,,030
05-7-3,125,334,,031
05-7-4,7873,335,,032
05-7-5,76,336,,033
05-8-1,15829,347,,002
05-8-2,185,348,,003
05-8-3,204,349,,004
05-8-4,5654,350,,005
05-8-5,341,351,,006
06-1-1,587,51,,007
06-1-2,415,52,,008
06-1-3,534,53,,009
06-1-4,3102,54,,010
06-1-5,810,55,,011
06-5-1,0,218,Peli jo käynnissä,001
06-5-2,400,219,,002
06-5-3,746,220,,003
06-5-4,2969,221,,004
06-5-5,397,222,,005
06-6-1,453,238,,001
06-6-2,722,239,,003
06-6-3,419,240,,004
06-6-4,4543,241,,005
06-6-5,482,242,,006
06-7-1,559,296,,020
06-7-2,479,297,,021
06-7-3,292,298,,022
06-7-4,4220,299,,023
06-7-5,3997,300,,024
06-8-1,6045,311,,001
06-8-2,6335,312,,002
06-8-3,300,313,,003
06-8-4,6013,314,,004
06-8-5,317,315,,005
07-1-1,4502,86,,001
07-1-2,698,87,,002
07-1-3,584,88,,003
07-1-4,9992,89,,004
07-1-5,782,90,,005
07-5-1,8056,316,,008
07-5-2,485,317,,009
07-5-3,6077,318,,010
07-5-4,5491,319,,011
07-5-5,498,320,,012
07-6-1,17024,342,,002
07-6-2,258,343,,003
07-6-3,5263,344,,004
07-6-4,7033,345,,005
07-6-5,4458,346,,006
07-7-1,5909,352,,011
07-7-2,219,353,,012
07-7-3,0,354,Peli oli jo käynnissä,013
07-7-4,7492,355,,014
07-7-5,401,356,,015
07-8-1,528,367,,008
07-8-2,280,368,,009
07-8-3,261,369,,010
07-8-4,9754,370,,011
07-8-5,309,371,,012
08-1-1,383,122,,001
08-1-2,399,123,,002
08-1-3,0,124,Peli oli jo käynnissä,003
08-1-4,3590,125,,004
08-1-5,497,126,,005
08-5-1,10954,248,,001
08-5-2,751,249,,002
08-5-3,434,250,,003
08-5-4,6780,251,,004
08-5-5,339,252,,005
08-6-1,112,,,010
08-6-2,360,281,,011
08-6-3,480,282,,012
08-6-4,382,283,,014
08-6-5,717,284,,015
08-7-1,693,301,,027
08-7-2,646,302,,028
08-7-3,387,303,,029
08-7-4,5536,304,,030
08-7-5,917,305,,031
08-8-1,5402,337,,036
08-8-2,467,338,,037
08-8-3,482,339,,038
08-8-4,3913,340,,039
08-8-5,447,341,,040
09-1-1,5093,127,,002
09-1-2,270,128,,003
09-1-3,302,129,,004
09-1-4,2344,130,,005
09-1-5,322,131,,006
09-5-1,8376,253,,008
09-5-2,312,254,,009
09-5-3,267,255,,010
09-5-4,6205,256,,011
09-5-5,453,257,,012
09-6-1,32554,263,,000
09-6-2,282,264,,001
09-6-3,168,265,,002
09-6-4,721,266,,003
09-6-5,161,267,,004
09-7-1,233,362,,001
09-7-2,279,363,,002
09-7-3,429,364,,003
09-7-4,11072,365,,004
09-7-5,217,366,,005
09-8-1,6335,377,,009
09-8-2,4544,378,,010
09-8-3,99,379,,011
09-8-4,8673,380,,012
09-8-5,290,381,,013
